speed_limit,n,fatal_rate,serious_rate,serious_or_fatal_rate
60.0,1887558,0.02403952620263854,0.16565583680077645,0.189695363003415
20.0,286722,0.003431895703852512,0.13737697142179534,0.14080886712564783
50.0,413889,0.015559727366516143,0.12332775212677795,0.1388874794932941
40.0,998279,0.009642594905832939,0.1100564070765788,0.11969900198241173
70.0,1074930,0.016081047137953167,0.09634115709860178,0.11242220423655494
30.0,6030935,0.004889291627251827,0.10257414480507583,0.10746343643232766
