year,month_num,month_name,accidents
2022,3,March,8823
2022,4,April,7933
2022,5,May,9174
2022,6,June,9345
2022,7,July,9166
2022,8,August,8938
2022,9,September,8773
2022,10,October,9334
2022,11,November,9588
2022,12,December,8204
2023,1,January,8752
2023,2,February,7558
2023,3,March,8183
2023,4,April,7749
2023,5,May,9074
2023,6,June,9748
2023,7,July,9159
2023,8,August,8417
2023,9,September,9017
2023,10,October,9142
2023,11,November,9160
2023,12,December,8287
2024,1,January,8301
2024,2,February,7537
2024,3,March,7813
2024,4,April,7646
2024,5,May,8983
2024,6,June,9064
2024,7,July,8505
2024,8,August,8191
2024,9,September,8838
2024,10,October,9069
2024,11,November,8919
2024,12,December,8061
