light_conditions,n,fatal_rate,serious_rate,serious_or_fatal_rate
6.0,609557,0.03333076316078726,0.17747807013946193,0.2108088333002492
5.0,67247,0.014424435290793642,0.12659300786652192,0.14101744315731557
4.0,2072691,0.009640607307119103,0.12216340978949587,0.131804017096615
7.0,114782,0.01123869596278162,0.10681988465090345,0.11805858061368507
1.0,7828146,0.008512488142147579,0.10896424261887809,0.11747673076102566
