road_surface_conditions,n,fatal_rate,serious_rate,serious_or_fatal_rate
6.0,9167,0.004363477691720301,0.1435584160575979,0.14792189374931822
5.0,14946,0.013180784156296,0.11989830054864177,0.1330790847049378
1.0,7186329,0.010177936467979688,0.11844879353561463,0.12862673000359431
2.0,3220712,0.010518481627664939,0.11009646314231139,0.12061494476997633
4.0,167459,0.008933529998387665,0.11006276163120525,0.11899629162959291
7.0,4740,0.00590717299578059,0.10738396624472574,0.11329113924050632
3.0,51072,0.006206923558897243,0.09310385338345864,0.09931077694235589
-1.0,19547,0.005218192049930936,0.0799099606077659,0.08512815265769684
9.0,18621,0.00021481123462757103,0.05472316202137372,0.05493797325600129
