lat_cell,lon_cell,Fatal,Serious,Slight,score,accidents
51.54,0.07,3.0,147.0,2729.0,3032.0,2879.0
55.86,-4.27,9.0,176.0,2643.0,3022.0,2828.0
51.59,-0.2,14.0,199.0,2554.0,2994.0,2767.0
51.58,0.04,13.0,208.0,2529.0,2984.0,2750.0
51.49,-0.18,4.0,337.0,2297.0,2983.0,2638.0
51.43,-0.17,8.0,262.0,2427.0,2975.0,2697.0
51.49,-0.15,9.0,346.0,2250.0,2969.0,2605.0
51.5,-0.13,7.0,303.0,2338.0,2965.0,2648.0
51.47,-0.11,3.0,338.0,2274.0,2959.0,2615.0
51.6,-0.02,10.0,222.0,2484.0,2958.0,2716.0
51.51,-0.25,16.0,290.0,2325.0,2953.0,2631.0
51.57,-0.23,11.0,181.0,2557.0,2952.0,2749.0
51.56,-0.25,16.0,208.0,2487.0,2951.0,2711.0
51.54,-0.0,8.0,222.0,2482.0,2950.0,2712.0
51.53,-0.02,11.0,258.0,2399.0,2948.0,2668.0
51.56,-0.07,4.0,317.0,2292.0,2938.0,2613.0
51.52,-0.2,19.0,334.0,2209.0,2934.0,2562.0
53.8,-1.78,9.0,126.0,2651.0,2930.0,2786.0
53.79,-1.74,7.0,147.0,2612.0,2927.0,2766.0
51.55,-0.05,16.0,289.0,2297.0,2923.0,2602.0
51.46,-0.13,3.0,298.0,2316.0,2921.0,2617.0
53.8,-1.53,13.0,219.0,2444.0,2921.0,2676.0
51.49,-0.19,18.0,289.0,2257.0,2889.0,2564.0
52.95,-1.15,7.0,298.0,2268.0,2885.0,2573.0
55.95,-3.19,13.0,306.0,2234.0,2885.0,2553.0
51.55,-0.07,1.0,274.0,2333.0,2884.0,2608.0
51.5,-0.17,6.0,338.0,2183.0,2877.0,2527.0
51.45,-0.12,7.0,262.0,2325.0,2870.0,2594.0
51.46,-0.17,12.0,303.0,2219.0,2861.0,2534.0
51.61,-0.11,10.0,196.0,2433.0,2855.0,2639.0
51.82,-0.42,2.0,179.0,2486.0,2850.0,2667.0
51.47,-0.02,6.0,265.0,2297.0,2845.0,2568.0
51.49,-0.09,13.0,268.0,2265.0,2840.0,2546.0
51.46,-0.14,15.0,309.0,2154.0,2817.0,2478.0
51.46,-0.19,12.0,319.0,2141.0,2815.0,2472.0
